# Faculty whose CSRankings roster name differs from their publication-table name.
# Generated 2026-08-22T17:34:20.242Z by scripts/sync-nsf-roster-names.mjs.
# The publication-table name is what the site matches on; edit a row to correct a resolution.
faculty_name,roster_name,affiliation
Raj K. Bhatnagar,Raj Bhatnagar,University of Cincinnati
Rakesh B. Bobba,Rakesh Bobba,Oregon State University
Rebecca M. Willett,Rebecca Willett,University of Chicago
Rhongho Jang,RhongHo Jang,Wayne State University
Robert Kleinberg,Robert D. Kleinberg,Cornell University
Rogelio E. Cardona-Rivera,Rogelio Enrique Cardona-Rivera,University of Utah
Roger A. Crawfis,Roger Crawfis,Ohio State University
Ron K. Cytron,Ron Cytron,Washington University in St. Louis
Roshan L. Peiris,Roshan Lalintha Peiris,Rochester Inst. of Technology
Ruben A. Gamboa,Ruben Gamboa,University of Wyoming
Samir R. Das,Samir Ranjan Das,Stony Brook University
Sanjay Rajopadhye,Sanjay V. Rajopadhye,Colorado State University
Sanjoy K. Baruah,Sanjoy Baruah,Washington University in St. Louis
Sara M. Beery,Sara Beery,Massachusetts Inst. of Technology
Sarah A. Bargal,Sarah Adel Bargal,Georgetown University
Sarma Vrudhula,Sarma B. K. Vrudhula,Arizona State University
Sartaj K. Sahni,Sartaj Sahni,University of Florida
Sham Kakade,Sham M. Kakade,Harvard University
Shawn Newsam,Shawn D. Newsam,Univ. of California - Merced
Shravan R. Narayan,Shravan Narayan,University of Texas at Austin
Shwetak Patel,Shwetak N. Patel,University of Washington
Sidney D'Mello,Sidney K. D'Mello,University of Colorado Boulder
Song Li 0007,Song Li 0006,Virginia Tech
Stephanie A. Ludi,Stephanie Ludi,University of North Texas
Stephanie J. Lunn,Stephanie Lunn,Florida International University
Stephanie C. Weirich,Stephanie Weirich,University of Pennsylvania
Stephen S. Baek,Stephen Baek,University of Virginia
Steven L. Franconeri,Steven Franconeri,Northwestern University
Steven L. Salzberg,Steven Salzberg,Johns Hopkins University
Stuart J. Russell,Stuart Russell 0001,Univ. of California - Berkeley
Swamit Tannu,Swamit S. Tannu,University of Wisconsin - Madison
Szymon M. Rusinkiewicz,Szymon Rusinkiewicz,Princeton University
Tajana S. Rosing,Tajana Rosing,Univ. of California - San Diego
Tamara R. Sumner,Tamara Sumner,University of Colorado Boulder
Tawanna R. Dillahunt,Tawanna Dillahunt,University of Michigan
ThanhVu H. Nguyen,ThanhVu Nguyen,George Mason University
Theophilus A. Benson,Theophilus Benson,Carnegie Mellon University
Tiffany M. Barnes,Tiffany Barnes,North Carolina State University
Truong X. Nghiem,Truong Nghiem,Northern Arizona University
Ulugbek S. Kamilov,Ulugbek Kamilov,Washington University in St. Louis
Vaibhav Vasant Unhelkar,Vaibhav V. Unhelkar,Rice University
Vernon J. Rego,Vernon Rego,Purdue University
Victor W. Zue,Victor Zue,Massachusetts Inst. of Technology
Vijay V. Raghavan 0001,Vijay Raghavan 0001,Univ. of Louisiana - Lafayette
Vikas Ganjigunte Ashok,Vikas Ashok,Old Dominion University
Viktor K. Prasanna,Viktor Prasanna 0001,University of Southern California
Vinhthuy Phan,Vinhthuy T. Phan,University of Memphis
Virginia de Sa,Virginia R. de Sa,Univ. of California - San Diego
Vishnu Boddeti,Vishnu Naresh Boddeti,Michigan State University
Vladimir I. Zadorozhny,Vladimir Zadorozhny,University of Pittsburgh
Weijie Su 0001,Weijie J. Su,University of Pennsylvania
William D. Gropp,William Gropp,Univ. of Illinois at Urbana-Champaign
William Gasarch,William I. Gasarch,Univ. of Maryland - College Park
William Robertson 0002,William K. Robertson,Northeastern University
William Wang 0001,William Yang Wang,Univ. of California - Santa Barbara
Wolfgang Bein,Wolfgang W. Bein,University of Nevada Las Vegas
Xavier M. Tricoche,Xavier Tricoche,Purdue University
Xia Hu 0001,Xia Ben Hu,Rice University
Xiaolin Hu 0002,Xiaolin Hu 0001,Georgia State University
Zhijie Shi,Zhijie Jerry Shi,University of Connecticut
